idcliente;retorno_fornecedora
47977;10 - Cancelado
47990;10 - Cancelado
48069;10 - Cancelado
48103;10 - Cancelado
48111;10 - Cancelado
48125;10 - Cancelado
48145;10 - Cancelado
48174;10 - Cancelado
48185;10 - Cancelado
48186;10 - Cancelado
48234;10 - Cancelado
48235;10 - Cancelado
48249;10 - Cancelado
48256;10 - Cancelado
48286;10 - Cancelado
48297;10 - Cancelado
48298;10 - Cancelado
48348;10 - Cancelado
48372;10 - Cancelado
48384;10 - Cancelado
48388;10 - Cancelado
48399;10 - Cancelado
48420;10 - Cancelado
48444;10 - Cancelado
48457;10 - Cancelado
48477;10 - Cancelado
48480;10 - Cancelado
48484;10 - Cancelado
48487;10 - Cancelado
48523;10 - Cancelado
48530;10 - Cancelado
48531;10 - Cancelado
48569;10 - Cancelado
48584;10 - Cancelado
48597;10 - Cancelado
48599;10 - Cancelado
48610;10 - Cancelado
48632;13 - Denunciado - Compensação
48685;10 - Cancelado
48686;10 - Cancelado
48699;10 - Cancelado
48701;10 - Cancelado
48708;10 - Cancelado
48735;10 - Cancelado
48785;10 - Cancelado
48810;13 - Denunciado - Compensação
48818;10 - Cancelado
48820;10 - Cancelado
48821;10 - Cancelado
48837;10 - Cancelado
48857;10 - Cancelado
48901;10 - Cancelado
48942;10 - Cancelado
48943;10 - Cancelado
48951;10 - Cancelado
48956;10 - Cancelado
48964;10 - Cancelado
48966;10 - Cancelado
48980;10 - Cancelado
49006;10 - Cancelado
49020;10 - Cancelado
49057;10 - Cancelado
49060;10 - Cancelado
49078;10 - Cancelado
49088;10 - Cancelado
49096;10 - Cancelado
49100;10 - Cancelado
49113;10 - Cancelado
49135;10 - Cancelado
49141;10 - Cancelado
49150;10 - Cancelado
49193;10 - Cancelado
49200;10 - Cancelado
49255;10 - Cancelado
49271;10 - Cancelado
49286;10 - Cancelado
49291;10 - Cancelado
49313;10 - Cancelado
49320;10 - Cancelado
49326;10 - Cancelado
49352;10 - Cancelado
49373;10 - Cancelado
49382;10 - Cancelado
49405;10 - Cancelado
49424;10 - Cancelado
49438;10 - Cancelado
49447;10 - Cancelado
49472;10 - Cancelado
49474;10 - Cancelado
49477;10 - Cancelado
49498;10 - Cancelado
49530;10 - Cancelado
